name,clinical trial,accession number,smiles,categories,unii,cas number,kegg drug,pubchem compound,chemspider,bindingdb,rxnav,chebi,chembl,therapeutic targets database,pharmgkb,zinc
Felypressin,phase 4 complete,"DB00093 (BTD00114, BIOD00114)",NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,"Amino Acids, Peptides, and Proteins / Cardiovascular Agents / Hormones / Hormones, Hormone Substitutes, and Hormone Antagonists / Nerve Tissue Proteins / Neuropeptides / Oligopeptides / Peptide Hormones / Peptides / Pituitary Hormones / Pituitary Hormones, Posterior / Proteins / Vasoconstrictor Agents / Vasopressin and Analogues / Vasopressins",17N2918V6G,56-59-7,,14257662.0,16736539.0,,4319.0,60564.0,CHEMBL3185126,DAP000217,PA164744374,
Tetrahydrofolic acid,Not Available,DB00116 (NUTR00056),NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1,"Biological Factors / Coenzymes / Dietary Supplements / Enzymes and Coenzymes / Folic Acid and Derivatives / Heterocyclic Compounds, Fused-Ring / Pigments, Biological / Pteridines / Pterins / Supplements / Vitamin B Complex / Vitamins",43ZWB253H4,135-16-0,,91443.0,82572.0,50022833.0,,20506.0,CHEMBL2021342,DAP001308,PA164745110,
Histidine,phase 3 complete,DB00117 (NUTR00030),N[C@@H](CC1=CNC=N1)C(O)=O,"Amino Acids / Amino Acids, Cyclic / Amino Acids, Essential / Amino Acids, Peptides, and Proteins / Dietary Supplements / Supplements",4QD397987E,71-00-1,D00032,6274.0,6038.0,7953.0,5340.0,15971.0,CHEMBL17962,,PA449882,ZINC000006661227
Arginine,phase 4 complete,DB00125 (NUTR00014),N[C@@H](CCCNC(N)=N)C(O)=O,"Amino Acids / Amino Acids, Basic / Amino Acids, Diamino / Amino Acids, Essential / Amino Acids, Peptides, and Proteins / Arginine / Blood and Blood Forming Organs / Blood Substitutes and Perfusion Solutions / Dietary Supplements / I.V. Solution Additives / Pituitary Function / Supplements",94ZLA3W45F,74-79-3,D02982,6322.0,6082.0,21959.0,1091.0,16467.0,CHEMBL1485,,PA448478,ZINC000001532525
Spermine,phase 1 complete,"DB00127 (NUTR00055, EXPT02947, DB02564)",NCCCNCCCCNCCCN,Amines / Biogenic Amines / Biogenic Polyamines / Diamines / Dietary Supplements / OCT1 substrates / Polyamines / Supplements,2FZ7Y3VOQX,71-44-3,,1103.0,1072.0,79403.0,1483263.0,15746.0,CHEMBL23194,,PA164781199,ZINC000001532734
Serine,phase 3 complete,"DB00133 (NUTR00053, DB03375)",N[C@@H](CO)C(O)=O,"Amino Acids / Amino Acids, Neutral / Amino Acids, Peptides, and Proteins / Dietary Supplements / Supplements",452VLY9402,56-45-1,D00016,5951.0,5736.0,50357212.0,9671.0,33384.0,CHEMBL11298,,PA451330,ZINC000000895034
Pyridoxal,Not Available,DB00147 (NUTR00049),CC1=NC=C(CO)C(C=O)=C1O,"Diet, Food, and Nutrition / Dietary Supplements / Food / Food and Beverages / Growth Substances / Micronutrients / Physiological Phenomena / Picolines / Pyridines / Supplements / Vitamin B Complex / Vitamins",3THM379K8A,66-72-8,,1050.0,1021.0,50366979.0,9002.0,17310.0,CHEMBL102970,,PA164749166,ZINC000000120249
Leucine,phase 3 complete,DB00149 (NUTR00033),CC(C)C[C@H](N)C(O)=O,"Amino Acids / Amino Acids, Branched-Chain / Amino Acids, Essential / Amino Acids, Peptides, and Proteins / Dietary Supplements / Supplements",GMW67QNF9C,61-90-5,D00030,6106.0,5880.0,50219348.0,6308.0,57427.0,CHEMBL291962,,PA450197,ZINC000003645145
Dihomo-gamma-linolenic acid,phase 2 complete,DB00154 (NUTR00032),CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O,"Autacoids / Biological Factors / Dietary Supplements / Eicosanoids / Fatty Acids / Fatty Acids, Unsaturated / Inflammation Mediators / Lipids / Supplements",FC398RK06S,1783-84-2,,5280581.0,4444199.0,50269534.0,,53486.0,CHEMBL465183,DAP000806,PA164743249,ZINC000004521470
Alanine,phase 3 complete,DB00160 (NUTR00013),C[C@H](N)C(O)=O,"Alanine / Amino Acids / Amino Acids, Peptides, and Proteins / Dietary Supplements / Supplements",OF5P57N2ZX,56-41-7,D00012,5950.0,5735.0,50000099.0,426.0,16977.0,CHEMBL279597,DAP000805,PA448055,ZINC000004658553
